Place;Expected lifetime (years)
"Aalborg
";16.444141689373296
;11.607629427792915
Anholt Havn;12.629427792915532
;9.223433242506813
Arkona;11.880108991825614
;8.474114441416894
Billund;12.28882833787466
;8.882833787465941
Bremen;16.852861035422343
;12.356948228882835
Fehmarn;13.787465940054497
;9.904632152588556
Grosser;9.359673024523161
;7.043596730245232
Hammerodde;13.038147138964579
;9.223433242506813
Helgoland;7.316076294277929
;5.272479564032698
Hvide Sande;9.223433242506813
;6.6348773841961854
Karup;17.87465940054496
;12.833787465940055
List;7.588555858310627
;5.408719346049047
Seehausen;32.316076294277934
;24.34604904632153
Skagen;8.678474114441418
;6.226158038147139
Thyborøn;9.01907356948229
;6.430517711171662
Utsira;4.2506811989100814
;3.024523160762943
Vindebæk;12.833787465940055
;9.223433242506813
